"","V9","V4","V6","V7","V8","CHROM","START","STOP","log2FC","CENTER","TSS","distance.kb","my_ranks","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"22","FBXO28","10_NA_peak_6490_lociStitched","chr1",224300789,224302789,"chr1",224238094,224272511,1.83311078619522,224255302,224301789,46.487,"1",859,3804.03875343928,0.958364242303584,0.0773296565677678,12.3932302927496,2.84354055357024e-35,4.96014105409738e-34
"23","FBXO3","17_NA_peak_11399_lociStitched","chr11",33795089,33797089,"chr11",33521489,33580604,1.69445868105258,33551046,33796089,245.043,"4",2025,2649.05391086224,0.697227917086243,0.0891125641473529,7.82412585427724,5.11196470581982e-15,3.78260143960515e-14
"24","GLI3","20_NA_peak_65942_lociStitched","chr7",42276469,42278469,"chr7",41908187,41982768,1.97151006129078,41945477,42277469,331.992,"2",4233,1485.60368562332,0.573604807132122,0.124439037139424,4.60952463405388,4.03590712552271e-06,1.42863294044017e-05
"25","GLI3","6_NA_peak_65924_lociStitched","chr7",42276469,42278469,"chr7",41725711,41751545,1.72527692656028,41738628,42277469,538.841,"2",4233,1485.60368562332,0.573604807132122,0.124439037139424,4.60952463405388,4.03590712552271e-06,1.42863294044017e-05
"26","GNG11","4_NA_peak_66999_lociStitched","chr7",93550011,93552011,"chr7",93671497,93699561,1.93663793900257,93685529,93551011,134.518,"3",129,6550.54800313401,1.64349391808744,0.0592932297291653,27.7180704372903,4.22911620469453e-169,4.91233156675526e-167
"27","GNG11","12_NA_peak_67009_lociStitched","chr7",93550011,93552011,"chr7",93772869,93820559,1.95486660568769,93796714,93551011,245.703,"3",129,6550.54800313401,1.64349391808744,0.0592932297291653,27.7180704372903,4.22911620469453e-169,4.91233156675526e-167
"28","GTPBP2","2_NA_peak_61655_lociStitched","chr6",43595899,43597899,"chr6",44443298,44463791,1.63357589294312,44453544,43596899,856.645,"16",122,12256.1709035479,1.25692390057827,0.0442406634759366,28.4110544875065,1.47660892855801e-177,1.8135662447142e-175
"29","HAS2","11_NA_peak_71414_lociStitched","chr8",122652630,122654630,"chr8",123090634,123149958,2.34758090516525,123120296,122653630,466.666,"1",28,5654.53243114677,3.53196412846176,0.0705777292389206,50.0436067658866,0,0
"30","HAS2","13_NA_peak_71426_lociStitched","chr8",122652630,122654630,"chr8",123168002,123202232,2.23222396410139,123185117,122653630,531.487,"1",28,5654.53243114677,3.53196412846176,0.0705777292389206,50.0436067658866,0,0
"31","HAS2","4_NA_peak_71436_lociStitched","chr8",122652630,122654630,"chr8",123322624,123338737,2.31221160471936,123330680,122653630,677.05,"2",28,5654.53243114677,3.53196412846176,0.0705777292389206,50.0436067658866,0,0
"32","HIPK3","17_NA_peak_11399_lociStitched","chr11",33277218,33279218,"chr11",33521489,33580604,1.69445868105258,33551046,33278218,272.828,"5",680,4004.14304379592,0.990261115839029,0.0722008771076414,13.715361301812,8.21561175423916e-43,1.81033421361058e-41
"33","HSP90AB1","2_NA_peak_61655_lociStitched","chr6",44213824,44215824,"chr6",44443298,44463791,1.63357589294312,44453544,44214824,238.72,"5",219,252418.257006297,0.511857921945124,0.0223557482527778,22.8960317569117,5.08900415816226e-116,3.481901292507e-114
"34","INHBA","6_NA_peak_65924_lociStitched","chr7",41741706,41743706,"chr7",41725711,41751545,1.72527692656028,41738628,41742706,4.078,"1",22,2947.83292149644,5.52415622205228,0.134222190482821,41.1568027774015,0,0
"35","INHBA","20_NA_peak_65942_lociStitched","chr7",41741706,41743706,"chr7",41908187,41982768,1.97151006129078,41945477,41742706,202.771,"1",22,2947.83292149644,5.52415622205228,0.134222190482821,41.1568027774015,0,0
"36","KIAA1549L","17_NA_peak_11399_lociStitched","chr11",33562618,33564618,"chr11",33521489,33580604,1.69445868105258,33551046,33563618,12.572,"1",142,11246.9649539435,1.20000613092436,0.0447293607629998,26.8281529280653,1.51728442941682e-158,1.60105562608321e-156
"37","L3MBTL3","17_NA_peak_63416_lociStitched","chr6",130333844,130335844,"chr6",130586378,130649936,2.04758536645709,130618157,130334844,283.313,"3",4590,1242.63006153061,0.549484213929458,0.128215008403734,4.28564659294173,1.82208450237533e-05,5.94940134249272e-05
"38","LTBP1","14_NA_peak_35436_lociStitched","chr2",33171039,33173039,"chr2",33489763,33524748,1.81991374370822,33507255,33172039,335.216,"3",68,22290.2139885508,1.27821923423348,0.0358601519334628,35.6445571286247,2.86124276647713e-278,6.30483259013137e-276
"39","LTBP1","13_NA_peak_35447_lociStitched","chr2",33171039,33173039,"chr2",33577482,33606102,1.79265685118143,33591792,33172039,419.753,"3",68,22290.2139885508,1.27821923423348,0.0358601519334628,35.6445571286247,2.86124276647713e-278,6.30483259013137e-276
"40","MAD2L1BP","2_NA_peak_61655_lociStitched","chr6",43596277,43598277,"chr6",44443298,44463791,1.63357589294312,44453544,43597277,856.267,"15",2226,2715.40380220613,0.691977300265851,0.0933587591611281,7.41202332254187,1.24386875215761e-13,8.37292425082191e-13
"41","MFF","17_NA_peak_40340_lociStitched","chr2",228188867,228190867,"chr2",228230929,228281023,1.81039751378122,228255976,228189867,66.109,"2",609,7006.89287580588,0.821149803624069,0.0567068406683893,14.4806128139988,1.60658394810824e-47,3.95288241025516e-46
"42","MRPL14","2_NA_peak_61655_lociStitched","chr6",44094194,44096194,"chr6",44443298,44463791,1.63357589294312,44453544,44095194,358.35,"7",1586,6540.41644572771,0.566663414326872,0.0632051284751489,8.96546574618029,3.08972304798997e-19,2.91906747484752e-18
"43","MRPS18A","2_NA_peak_61655_lociStitched","chr6",43654528,43656528,"chr6",44443298,44463791,1.63357589294312,44453544,43655528,798.016,"12",2521,2005.01622198339,0.702324866486576,0.102071660441509,6.88070384520724,5.95575540611664e-12,3.53990634689614e-11
"44","NFATC2","10_NA_peak_42285_lociStitched","chr20",50178370,50180370,"chr20",50355031,50378421,1.55509707424182,50366726,50179370,187.356,"2",257,1270.36571498073,3.38765269362477,0.158218398595408,21.4112437219617,1.04973573612733e-101,6.12032695335872e-100
"45","PITPNC1","9_NA_peak_29450_lociStitched","chr17",65372575,65374575,"chr17",65465602,65504153,2.23296573993624,65484877,65373575,111.302,"1",440,1756.19915790342,1.87030733488047,0.11256939135155,16.6147059375987,5.45416314388062e-62,1.85739046699789e-60
"46","POLH","2_NA_peak_61655_lociStitched","chr6",43542887,43544887,"chr6",44443298,44463791,1.63357589294312,44453544,43543887,909.657,"19",2172,1953.27902287132,0.759404913781701,0.100938558276516,7.52343729441186,5.33545951826171e-14,3.68077925513966e-13
"47","POLR1C","2_NA_peak_61655_lociStitched","chr6",43476440,43478440,"chr6",44443298,44463791,1.63357589294312,44453544,43477440,976.104,"22",1693,3403.55070009967,0.784187012207044,0.0905227146152795,8.66287556156297,4.60010463059895e-18,4.07135072562875e-17
"48","PTPRZ1","10_NA_peak_67684_lociStitched","chr7",121512143,121514143,"chr7",121571206,121619450,1.57660448722579,121595328,121513143,82.185,"1",216,1631.86561198851,2.81458090994563,0.122217053015575,23.0293632557721,2.36844055385296e-117,1.64435211387783e-115
"49","QSER1","17_NA_peak_11399_lociStitched","chr11",32913724,32915724,"chr11",33521489,33580604,1.69445868105258,33551046,32914724,636.322,"14",490,10659.4699193894,0.779057268267668,0.0489270737832199,15.9228257083066,4.40046390872232e-57,1.34564390221011e-55
"50","RUNX2","2_NA_peak_61655_lociStitched","chr6",45294894,45296894,"chr6",44443298,44463791,1.63357589294312,44453544,45295894,842.35,"14",1981,3117.97447202661,0.632290322914919,0.0797807533083313,7.9253491186187,2.27506237661615e-15,1.72082456593722e-14
"51","SAMD3","17_NA_peak_63416_lociStitched","chr6",130685570,130687570,"chr6",130586378,130649936,2.04758536645709,130618157,130686570,68.413,"1",1668,562.929558513042,1.59993402908015,0.18348105076237,8.71988699886103,2.78479574688291e-18,2.50164145511352e-17
"52","SGTB","7_NA_peak_56916_lociStitched","chr5",65017862,65019862,"chr5",64248905,64275164,2.00890038959169,64262034,65018862,756.828,"11",3862,1086.77943969307,0.664254063288689,0.132647809133941,5.00765197424375,5.50980439661516e-07,2.13772421229626e-06
"53","SLC35B2","2_NA_peak_61655_lociStitched","chr6",44224291,44226291,"chr6",44443298,44463791,1.63357589294312,44453544,44225291,228.253,"4",1360,6530.24738284923,0.599278788427695,0.0611701765489041,9.79691121127606,1.16081040767325e-22,1.27893993739529e-21
"54","SUPT3H","2_NA_peak_61655_lociStitched","chr6",45344690,45346690,"chr6",44443298,44463791,1.63357589294312,44453544,45345690,892.146,"17",783,1602.14681506706,1.49057121674812,0.115186575474843,12.9404942425228,2.65913267215407e-38,5.09412763589347e-37
"55","TBC1D22A","9_NA_peak_44970_lociStitched","chr22",47157518,47159518,"chr22",47702445,47740880,2.39342919470204,47721662,47158518,563.144,"4",3804,1705.56781825461,0.525685428300398,0.103718542040074,5.06838428269928,4.01206775293284e-07,1.58035812854747e-06
"56","TCP11L1","17_NA_peak_11399_lociStitched","chr11",33059963,33061963,"chr11",33521489,33580604,1.69445868105258,33551046,33060963,490.083,"10",1708,1976.10926604032,0.85507706292453,0.0992739579367957,8.61330686008237,7.09827645187214e-18,6.22719990367987e-17
"57","TFPI2","4_NA_peak_66999_lociStitched","chr7",93519303,93521303,"chr7",93671497,93699561,1.93663793900257,93685529,93520303,165.226,"4",24,88617.4069600967,4.54898977033861,0.0307668618780603,147.85355062755,0,0
"58","TFPI2","12_NA_peak_67009_lociStitched","chr7",93519303,93521303,"chr7",93772869,93820559,1.95486660568769,93796714,93520303,276.411,"4",24,88617.4069600967,4.54898977033861,0.0307668618780603,147.85355062755,0,0
"59","TJAP1","2_NA_peak_61655_lociStitched","chr6",43444261,43446261,"chr6",44443298,44463791,1.63357589294312,44453544,43445261,1008.283,"23",1119,4318.10583768887,0.794045081694093,0.0734391556579661,10.8122850076363,3.01075642897347e-27,4.03156160247887e-26
"60","TMEM200A","17_NA_peak_63416_lociStitched","chr6",130685879,130687879,"chr6",130586378,130649936,2.04758536645709,130618157,130686879,68.722,"2",111,7923.83021068041,1.64530272383608,0.0569760658987724,28.8770854547809,2.31637731631133e-183,3.12690069437919e-181
"61","TMEM63B","2_NA_peak_61655_lociStitched","chr6",44093651,44095651,"chr6",44443298,44463791,1.63357589294312,44453544,44094651,358.893,"8",547,4518.32866673162,1.01929854172842,0.0667988528681728,15.2592222465256,1.4294190184972e-52,3.91561509564205e-51
"62","TP53BP2","10_NA_peak_6490_lociStitched","chr1",224032674,224034674,"chr1",224238094,224272511,1.83311078619522,224255302,224033674,221.628,"5",847,4450.99385189102,0.848503935180657,0.067910803194306,12.4943881572557,8.01102260691549e-36,1.41720381041348e-34
"63","VEGFA","2_NA_peak_61655_lociStitched","chr6",43736921,43738921,"chr6",44443298,44463791,1.63357589294312,44453544,43737921,715.623,"11",19,36159.7865948086,1.81754399864813,0.0317698740651192,57.2096696046915,0,0
"64","WDR26","10_NA_peak_6490_lociStitched","chr1",224623735,224625735,"chr1",224238094,224272511,1.83311078619522,224255302,224624735,369.433,"10",1138,7716.99581041185,0.643519563218704,0.0598359449345027,10.7547321918808,5.6297311160838e-27,7.41264420416518e-26
"65","WIPI1","9_NA_peak_29450_lociStitched","chr17",66452654,66454654,"chr17",65465602,65504153,2.23296573993624,65484877,66453654,968.777,"10",929,2072.96864918863,1.13168754991935,0.09478430603411,11.9396089634511,7.35682424146481e-33,1.18659477324121e-31
"66","XPO5","2_NA_peak_61655_lociStitched","chr6",43542812,43544812,"chr6",44443298,44463791,1.63357589294312,44453544,43543812,909.732,"20",215,15419.2458109303,1.05410032779562,0.045772084658428,23.0293274964816,2.37039546581428e-117,1.64435211387783e-115
"67","YES1","7_NA_peak_30297_lociStitched","chr18",811547,813547,"chr18",805809,845235,1.89951270605727,825522,812547,12.975,"1",47,32375.3893178832,2.95285761358494,0.0385767781122488,76.544951602564,0,0
"68","YIPF3","2_NA_peak_61655_lociStitched","chr6",43483728,43485728,"chr6",44443298,44463791,1.63357589294312,44453544,43484728,968.816,"21",606,6798.19409568688,0.830141429359585,0.0571690149737743,14.5208279299618,8.9423600979707e-48,2.21109445062695e-46
"69","YIPF4","14_NA_peak_35436_lociStitched","chr2",32501979,32503979,"chr2",33489763,33524748,1.81991374370822,33507255,32502979,1004.276,"6",2229,2604.4457530801,0.777578600541235,0.10495868954968,7.40842519926074,1.27807966007691e-13,8.59163105724198e-13
