GENE.SYMBOL,PROMOTER.CHROM,PROMOTER.START,PROMOTER.END,PROMOTER.TSS,SE.PEAK,SE.CHROM,SE.START,SE.END,SE.CENTER,DISTANCE.PROM.ENH.KB,RANKED.DISTANCE,SE.LOG2FC,GENE.LOG2FC,GENE.BASEMEAN,GENE.LOG2FC.PADJ
PRICKLE1,chr12,42983157,42985157,42984157,1_NA_peak_15146_lociStitched,chr12,43149870,43151877,43150873,166.716,1,-9.137070078,-4.189169938,153.2996056,4.05E-27
ABCA10,chr17,67239987,67241987,67240987,1_NA_peak_29521_lociStitched,chr17,67729531,67729907,67729719,488.732,2,-8.965537274,-2.424582221,204.0029057,1.65E-14
ABCA5,chr17,67322385,67324385,67323385,1_NA_peak_29521_lociStitched,chr17,67729531,67729907,67729719,406.334,1,-8.965537274,-0.859376845,198.2348967,0.012056108
MEGF6,chr1,3527059,3529059,3528059,3_NA_peak_144_lociStitched,chr1,3412040,3426442,3419241,108.818,1,-8.869917719,-5.538130023,212.9080919,0.072912234
PMEPA1,chr20,56285592,56287592,56286592,2_NA_peak_42449_lociStitched,chr20,56457141,56458136,56457638,171.046,1,-8.48963865,-1.155628921,1522.484573,1.92E-19
SDK1,chr7,3340080,3342080,3341080,2_NA_peak_64891_lociStitched,chr7,3475574,3479614,3477594,136.514,1,-8.365335638,-10.98387678,114.3463186,1.29E-12
FAT1,chr4,187646876,187648876,187647876,1_NA_peak_55450_lociStitched,chr4,187971398,187971698,187971548,323.672,1,-8.232037117,-0.519110496,25170.60584,5.44E-48
KRT7,chr12,52625304,52627304,52626304,NA_peak_15559,chr12,52607819,52608096,52607957,18.347,2,-8.094001655,-1.704326636,580.1746276,0.004410848
ALG10B,chr12,38709380,38711380,38710380,1_NA_peak_15119_lociStitched,chr12,38495656,38495900,38495778,214.602,1,-8.079083654,-5.492412389,172.4081559,1.22E-32
ABCA10,chr17,67239987,67241987,67240987,1_NA_peak_29520_lociStitched,chr17,67603447,67606024,67604735,363.748,2,-7.857501168,-2.424582221,204.0029057,1.65E-14
ABCA5,chr17,67322385,67324385,67323385,1_NA_peak_29520_lociStitched,chr17,67603447,67606024,67604735,281.35,1,-7.857501168,-0.859376845,198.2348967,0.012056108
CCND1,chr11,69454855,69456855,69455855,1_NA_peak_12389_lociStitched,chr11,69655709,69655992,69655850,199.995,2,-7.77977844,-0.616597246,26184.33764,1.37E-79
POLE3,chr9,116171952,116173952,116172952,1_NA_peak_74326_lociStitched,chr9,116279719,116279981,116279850,106.898,2,-7.707190693,-1.037029411,6023.35018,2.06E-60
SMCO4,chr11,93275674,93277674,93276674,1_NA_peak_12855_lociStitched,chr11,93324328,93324555,93324441,47.767,1,-7.680153435,-1.695329445,914.1759955,8.04E-32
KRT86,chr12,52642084,52644084,52643084,NA_peak_15571,chr12,52655284,52655508,52655396,12.312,2,-7.663287685,-2.99256697,143.1834715,2.25E-14
LCTL,chr15,66857317,66859317,66858317,1_NA_peak_23933_lociStitched,chr15,67013051,67013306,67013178,154.861,2,-7.657965061,-1.332909767,297.8309843,1.52E-06
ALG10B,chr12,38709380,38711380,38710380,4_NA_peak_15120_lociStitched,chr12,38535520,38544370,38539945,170.435,1,-7.475211525,-5.492412389,172.4081559,1.22E-32
CTD-2203K17.1,chr5,33439725,33441725,33440725,1_NA_peak_56231_lociStitched,chr5,33401455,33401693,33401574,39.151,1,-7.459638172,-1.300760388,119.431064,0.001880107
TARS,chr5,33439802,33441802,33440802,1_NA_peak_56231_lociStitched,chr5,33401455,33401693,33401574,39.228,2,-7.459638172,-0.754896033,36154.14549,1.49E-104
MIR503HG,chrX,133679741,133681741,133680741,NA_peak_76954,chrX,133671125,133671361,133671243,9.498,1,-7.454926005,-1.016500081,149.6954628,0.00622346
SDK1,chr7,3340080,3342080,3341080,1_NA_peak_64892_lociStitched,chr7,3533544,3533760,3533652,192.572,1,-7.430124667,-10.98387678,114.3463186,1.29E-12
PRICKLE1,chr12,42983157,42985157,42984157,2_NA_peak_15147_lociStitched,chr12,43183755,43185686,43184720,200.563,1,-7.177302098,-4.189169938,153.2996056,4.05E-27
ZNF248,chr10,38146034,38148034,38147034,2_NA_peak_8330_lociStitched,chr10,37777470,37779366,37778418,368.616,1,-7.131726003,-0.523604399,583.2851408,0.010732098
ALDH1B1,chr9,38391661,38393661,38392661,4_NA_peak_73271_lociStitched,chr9,38671587,38682830,38677208,284.547,1,-6.8983637,-1.014161133,2681.889179,3.04E-31
MRPS22,chr3,138723648,138725648,138724648,5_NA_peak_48741_lociStitched,chr3,138830893,138840192,138835542,110.894,1,-6.81744083,-0.52681878,6090.232703,2.29E-18
TAF1C,chr16,84219669,84221669,84220669,2_NA_peak_26693_lociStitched,chr16,84261550,84262654,84262102,41.433,1,-6.789908041,-0.916837431,1789.467902,2.34E-19
FADD,chr11,70048269,70050269,70049269,1_NA_peak_12399_lociStitched,chr11,69974111,69975180,69974645,74.624,1,-6.743207784,-0.605214274,390.8213538,0.011830877
DTNBP1,chr6,15662289,15664289,15663289,4_NA_peak_60561_lociStitched,chr6,16130089,16138250,16134169,470.88,2,-6.720162457,-0.742941413,1690.800378,6.47E-10
NR6A1,chr9,127532589,127534589,127533589,1_NA_peak_74633_lociStitched,chr9,127457050,127459274,127458162,75.427,1,-6.628816834,-0.772969501,428.7561835,0.001130479
RPL35,chr9,127623260,127625260,127624260,1_NA_peak_74633_lociStitched,chr9,127457050,127459274,127458162,166.098,2,-6.628816834,-0.831979747,33882.79979,8.91E-164
C9orf3,chr9,97487983,97489983,97488983,1_NA_peak_73822_lociStitched,chr9,97852635,97855654,97854144,365.161,2,-6.373813691,-1.486712159,975.641776,4.11E-23
FANCC,chr9,98078991,98080991,98079991,1_NA_peak_73822_lociStitched,chr9,97852635,97855654,97854144,225.847,1,-6.373813691,-0.684487573,1582.373068,5.96E-08
SPIN1,chr9,91002334,91004334,91003334,3_NA_peak_73651_lociStitched,chr9,90885470,90886957,90886213,117.121,1,-6.256260863,-0.521414637,6502.586737,1.99E-20
ZNF787,chr19,56631649,56633649,56632649,2_NA_peak_34482_lociStitched,chr19,56469545,56474175,56471860,160.789,1,-6.23656519,-0.551178964,2197.916085,9.60E-09
ABCA10,chr17,67239987,67241987,67240987,1_NA_peak_29519_lociStitched,chr17,67534932,67536784,67535858,294.871,2,-6.192923186,-2.424582221,204.0029057,1.65E-14
ABCA5,chr17,67322385,67324385,67323385,1_NA_peak_29519_lociStitched,chr17,67534932,67536784,67535858,212.473,1,-6.192923186,-0.859376845,198.2348967,0.012056108
FADD,chr11,70048269,70050269,70049269,2_NA_peak_12396_lociStitched,chr11,69861872,69864458,69863165,186.104,1,-6.187443101,-0.605214274,390.8213538,0.011830877
PRICKLE1,chr12,42983157,42985157,42984157,2_NA_peak_15144_lociStitched,chr12,43135684,43136752,43136218,152.061,1,-6.114820007,-4.189169938,153.2996056,4.05E-27
TFDP1,chr13,114238013,114240013,114239013,2_NA_peak_20338_lociStitched,chr13,114539783,114542766,114541274,302.261,2,-6.026036827,-0.571898771,14774.63384,2.64E-44
MEGF6,chr1,3527059,3529059,3528059,1_NA_peak_147_lociStitched,chr1,3459234,3460071,3459652,68.407,1,-5.937225711,-5.538130023,212.9080919,0.072912234
ABCA10,chr17,67239987,67241987,67240987,1_NA_peak_29513_lociStitched,chr17,67231319,67231665,67231492,9.495,1,-5.924726658,-2.424582221,204.0029057,1.65E-14
ABCA5,chr17,67322385,67324385,67323385,1_NA_peak_29513_lociStitched,chr17,67231319,67231665,67231492,91.893,2,-5.924726658,-0.859376845,198.2348967,0.012056108
ASAP3,chr1,23810061,23812061,23811061,1_NA_peak_1018_lociStitched,chr1,23796714,23797336,23797025,14.036,1,-5.884462465,-1.181949776,487.3007041,1.92E-09
ALG10B,chr12,38709380,38711380,38710380,2_NA_peak_15117_lociStitched,chr12,38449957,38451818,38450887,259.493,1,-5.740383325,-5.492412389,172.4081559,1.22E-32
FOXC1,chr6,1609681,1611681,1610681,1_NA_peak_59990_lociStitched,chr6,1461168,1461405,1461286,149.395,2,-5.724015515,-0.930497859,338.0459472,0.000184568
TLE4,chr9,82185688,82187688,82186688,1_NA_peak_73503_lociStitched,chr9,82104289,82105017,82104653,82.035,1,-5.70481668,-3.768894992,479.405211,1.95E-71
SDK1,chr7,3340080,3342080,3341080,1_NA_peak_64889_lociStitched,chr7,3232941,3235636,3234288,106.792,1,-5.591458088,-10.98387678,114.3463186,1.29E-12
PPARG,chr3,12327867,12329867,12328867,2_NA_peak_45298_lociStitched,chr3,12196882,12198321,12197601,131.266,1,-5.586215673,-5.604995579,337.1058874,5.42E-11
FADD,chr11,70048269,70050269,70049269,4_NA_peak_12393_lociStitched,chr11,69793748,69809396,69801572,247.697,1,-5.569764445,-0.605214274,390.8213538,0.011830877
KRT86,chr12,52642084,52644084,52643084,NA_peak_15570,chr12,52653355,52654828,52654091,11.007,2,-5.558219326,-2.99256697,143.1834715,2.25E-14
SAPCD2,chr9,139964040,139966040,139965040,1_NA_peak_75252_lociStitched,chr9,139958411,139958631,139958521,6.519,1,-5.550772552,-1.06499625,3354.611257,2.49E-33
UAP1L1,chr9,139970953,139972953,139971953,1_NA_peak_75252_lociStitched,chr9,139958411,139958631,139958521,13.432,2,-5.550772552,-0.808904613,1801.794871,6.07E-12
BRPF3,chr6,36163521,36165521,36164521,1_NA_peak_61316_lociStitched,chr6,36094610,36096750,36095680,68.841,2,-5.509394857,-0.777365062,3496.992338,1.06E-24
HMGXB3,chr5,149378884,149380884,149379884,1_NA_peak_59046_lociStitched,chr5,149317693,149319577,149318635,61.249,2,-5.498934706,-0.588968008,7266.920587,1.19E-27
KRT7,chr12,52625304,52627304,52626304,NA_peak_15558,chr12,52606974,52607346,52607160,19.144,2,-5.367139898,-1.704326636,580.1746276,0.004410848
ACP6,chr1,147141618,147143618,147142618,1_NA_peak_4160_lociStitched,chr1,147010214,147010799,147010506,132.112,1,-5.323498116,-0.613578322,1685.249121,2.82E-07
COTL1,chr16,84650683,84652683,84651683,1_NA_peak_26711_lociStitched,chr16,84565641,84566445,84566043,85.64,2,-5.25121463,-0.964811362,12578.63116,8.16E-116
KRT7,chr12,52625304,52627304,52626304,NA_peak_15560,chr12,52608246,52610861,52609553,16.751,2,-5.242774121,-1.704326636,580.1746276,0.004410848
CST3,chr20,23618110,23620110,23619110,1_NA_peak_41402_lociStitched,chr20,23603676,23603970,23603823,15.287,1,-5.231007759,-4.671613362,865.1631938,6.30E-166
MIR503HG,chrX,133679741,133681741,133680741,1_NA_peak_76957_lociStitched,chrX,133712687,133712903,133712795,32.054,1,-5.214001237,-1.016500081,149.6954628,0.00622346
UQCC2,chr6,33678504,33680504,33679504,3_NA_peak_61210_lociStitched,chr6,33639546,33643085,33641315,38.189,1,-5.199426335,-0.762161661,3749.162447,4.55E-23
NNMT,chr11,114127509,114129509,114128509,4_NA_peak_13419_lociStitched,chr11,114151511,114178862,114165186,36.677,1,-5.154103269,-2.47747457,2863.004983,2.09E-176
KLF4,chr9,110251763,110253763,110252763,3_NA_peak_74112_lociStitched,chr9,110569085,110574272,110571678,318.915,1,-5.136228714,-1.18436795,1192.338717,4.62E-21
ANKRD1,chr10,92680033,92682033,92681033,1_NA_peak_9462_lociStitched,chr10,92728833,92729974,92729403,48.37,1,-5.02997711,-3.658025405,3485.05002,1.28E-272
PLEKHG4,chr16,67310413,67312413,67311413,4_NA_peak_26144_lociStitched,chr16,67301418,67304412,67302915,8.498,2,-4.992434488,-4.977974654,1018.285977,4.33E-168
TRA2A,chr7,23570660,23572660,23571660,1_NA_peak_65515_lociStitched,chr7,23933543,23934374,23933958,362.298,2,-4.966997757,-0.951058087,3253.037736,7.69E-30
AC083843.1,chr8,135809515,135811515,135810515,2_NA_peak_72073_lociStitched,chr8,135898399,135906624,135902511,91.996,1,-4.957662227,-1.012401772,555.7183159,1.37E-06
MCTS1,chrX,119726865,119728865,119727865,1_NA_peak_76844_lociStitched,chrX,119805567,119807338,119806452,78.587,2,-4.954823348,-0.730790581,3443.464766,1.55E-19
PLK2,chr5,57755087,57757087,57756087,2_NA_peak_56830_lociStitched,chr5,57297899,57299240,57298569,457.518,1,-4.937337449,-2.693401618,3839.920387,3.01E-192
OLFML2B,chr1,161992644,161994644,161993644,2_NA_peak_4698_lociStitched,chr1,162106286,162107835,162107060,113.416,2,-4.931293343,-0.864478373,257.6558874,0.001961675
RNASEH2B,chr13,51482814,51484814,51483814,2_NA_peak_19140_lociStitched,chr13,51372448,51375548,51373998,109.816,1,-4.853635305,-0.546595771,2035.780441,6.02E-08
MGME1,chr20,17948556,17950556,17949556,5_NA_peak_41288_lociStitched,chr20,17806895,17831831,17819363,130.193,2,-4.84181465,-0.580043658,3218.34442,6.10E-11
SNORD17,chr20,17942589,17944589,17943589,5_NA_peak_41288_lociStitched,chr20,17806895,17831831,17819363,124.226,1,-4.84181465,-0.699342481,173.5175897,0.079402858
FADD,chr11,70048269,70050269,70049269,2_NA_peak_12400_lociStitched,chr11,70005174,70006981,70006077,43.192,1,-4.838035418,-0.605214274,390.8213538,0.011830877
THAP7,chr22,21355485,21357485,21356485,2_NA_peak_43874_lociStitched,chr22,21428015,21429129,21428572,72.087,2,-4.806628378,-0.654637524,1940.257449,3.54E-10
FAM20C,chr7,191969,193969,192969,6_NA_peak_64727_lociStitched,chr7,85646,102861,94253,98.716,1,-4.790826083,-2.572024252,540.7861109,2.47E-42
PDGFA,chr7,558933,560933,559933,6_NA_peak_64727_lociStitched,chr7,85646,102861,94253,465.68,2,-4.790826083,-1.423586674,3613.307913,2.31E-77
HHAT,chr1,210500596,210502596,210501596,1_NA_peak_6030_lociStitched,chr1,210611049,210614717,210612883,111.287,1,-4.765215924,-3.001296506,143.555759,5.68E-15
PPIAP29,chr6,24975647,24977647,24976647,2_NA_peak_60810_lociStitched,chr6,25192833,25194426,25193629,216.982,2,-4.742337067,-0.508777207,1619.217913,1.85E-05
NNMT,chr11,114127509,114129509,114128509,2_NA_peak_13421_lociStitched,chr11,114192330,114193578,114192954,64.445,1,-4.732265544,-2.47747457,2863.004983,2.09E-176
PPIF,chr10,81106225,81108225,81107225,3_NA_peak_9231_lociStitched,chr10,81158676,81173945,81166310,59.085,2,-4.724822533,-1.031605888,9952.744521,1.97E-104
ZCCHC24,chr10,81204383,81206383,81205383,3_NA_peak_9231_lociStitched,chr10,81158676,81173945,81166310,39.073,1,-4.724822533,-1.045355361,1938.125581,1.08E-26
MEGF6,chr1,3527059,3529059,3528059,2_NA_peak_142_lociStitched,chr1,3229171,3230618,3229894,298.165,1,-4.703624303,-5.538130023,212.9080919,0.072912234
KIAA1755,chr20,36888174,36890174,36889174,1_NA_peak_41765_lociStitched,chr20,36815542,36816143,36815842,73.332,2,-4.693859203,-3.292693296,104.4656924,4.37E-13
TGM2,chr20,36793980,36795980,36794980,1_NA_peak_41765_lociStitched,chr20,36815542,36816143,36815842,20.862,1,-4.693859203,-5.235027501,2612.147728,4.94E-07
PLXNB3,chrX,153028651,153030651,153029651,1_NA_peak_77163_lociStitched,chrX,152991718,152992980,152992349,37.302,2,-4.676371715,-0.52517311,717.416855,0.005732989
THBS2,chr6,169653139,169655139,169654139,1_NA_peak_64697_lociStitched,chr6,169739999,169741223,169740611,86.472,1,-4.670876783,-0.659551972,137.3139449,0.126620476
XXyac-YX65C7_A.2,chr6,169612349,169614349,169613349,1_NA_peak_64697_lociStitched,chr6,169739999,169741223,169740611,127.262,2,-4.670876783,-0.588519626,102.3813995,0.274395904
RPP40,chr6,5003297,5005297,5004297,1_NA_peak_60127_lociStitched,chr6,4603001,4603801,4603401,400.896,2,-4.662104507,-0.735756925,919.5344038,4.98E-07
CXXC5,chr5,139025884,139027884,139026884,1_NA_peak_58648_lociStitched,chr5,139015522,139016034,139015778,11.106,1,-4.650529562,-2.088676097,373.9267469,2.07E-20
XXyac-YX65C7_A.2,chr6,169612349,169614349,169613349,1_NA_peak_64683_lociStitched,chr6,169469761,169472308,169471034,142.315,2,-4.641335662,-0.588519626,102.3813995,0.274395904
FADD,chr11,70048269,70050269,70049269,1_NA_peak_12398_lociStitched,chr11,69957981,69958441,69958211,91.058,1,-4.637595304,-0.605214274,390.8213538,0.011830877
C11orf73,chr11,86012253,86014253,86013253,1_NA_peak_12766_lociStitched,chr11,86289218,86289868,86289543,276.29,2,-4.636123456,-0.585371837,2359.337315,4.08E-10
CTNNAL1,chr9,111774809,111776809,111775809,1_NA_peak_74159_lociStitched,chr9,111905936,111906338,111906137,130.328,2,-4.595764468,-1.128021233,10014.76177,3.23E-113
SERPINB1,chr6,2841240,2843240,2842240,1_NA_peak_60022_lociStitched,chr6,2658887,2659227,2659057,183.183,2,-4.544622152,-2.811202168,1599.735937,1.02E-141
ZNF175,chr19,52073551,52075551,52074551,2_NA_peak_34333_lociStitched,chr19,52048664,52052518,52050591,23.96,1,-4.51040367,-0.859909638,1233.012267,8.74E-11
GAPDHP65,chrX,46299149,46301149,46300149,2_NA_peak_76223_lociStitched,chrX,46303284,46304334,46303809,3.66,2,-4.486373738,-0.50434602,146.6674607,0.21293495
KRBOX4,chrX,46305292,46307292,46306292,2_NA_peak_76223_lociStitched,chrX,46303284,46304334,46303809,2.483,1,-4.486373738,-0.556239697,878.022601,0.00020534
MVB12B,chr9,129088128,129090128,129089128,1_NA_peak_74720_lociStitched,chr9,129278938,129280093,129279515,190.387,1,-4.450552203,-0.670072323,253.4562437,0.02191596
FAM171A1,chr10,15412061,15414061,15413061,1_NA_peak_7651_lociStitched,chr10,15387158,15387748,15387453,25.608,1,-4.436646971,-0.909716553,1606.054871,3.70E-15
NMT2,chr10,15209692,15211692,15210692,1_NA_peak_7651_lociStitched,chr10,15387158,15387748,15387453,176.761,2,-4.436646971,-0.613789562,4135.341351,7.32E-19
FAM20C,chr7,191969,193969,192969,3_NA_peak_64725_lociStitched,chr7,64413,69041,66727,126.242,1,-4.434780148,-2.572024252,540.7861109,2.47E-42
PDGFA,chr7,558933,560933,559933,3_NA_peak_64725_lociStitched,chr7,64413,69041,66727,493.206,2,-4.434780148,-1.423586674,3613.307913,2.31E-77
RP11-346D6.6,chr10,54229293,54231293,54230293,1_NA_peak_8519_lociStitched,chr10,54624498,54625225,54624861,394.568,1,-4.433810217,-2.043046989,100.01971,0.001189199
SOX9,chr17,70116161,70118161,70117161,1_NA_peak_29584_lociStitched,chr17,70334110,70336800,70335455,218.294,2,-4.432048663,-1.690365193,7777.090891,1.05E-215
USP10,chr16,84732584,84734584,84733584,1_NA_peak_26737_lociStitched,chr16,84839153,84841212,84840182,106.598,1,-4.422875302,-0.637177064,15961.70278,3.31E-55
LIF,chr22,30641840,30643840,30642840,2_NA_peak_44158_lociStitched,chr22,30673365,30674493,30673929,31.089,1,-4.422065229,-1.428349664,7586.597879,7.91E-150
XXyac-YX65C7_A.2,chr6,169612349,169614349,169613349,1_NA_peak_64684_lociStitched,chr6,169497126,169499153,169498139,115.21,2,-4.394021446,-0.588519626,102.3813995,0.274395904
MRPL40,chr22,19418425,19420425,19419425,3_NA_peak_43780_lociStitched,chr22,19274774,19277498,19276136,143.289,1,-4.392173315,-0.640038984,2496.206981,4.57E-12
LACTB,chr15,63412999,63414999,63413999,3_NA_peak_23786_lociStitched,chr15,63305081,63312282,63308681,105.318,2,-4.39212681,-0.635765179,3044.694419,1.32E-12
TPM1,chr15,63333831,63335831,63334831,3_NA_peak_23786_lociStitched,chr15,63305081,63312282,63308681,26.15,1,-4.39212681,-1.283834061,3723.536642,1.53E-64
STX18,chr4,4543073,4545073,4544073,1_NA_peak_50872_lociStitched,chr4,4428844,4430052,4429448,114.625,2,-4.360220705,-0.742818206,1684.657062,1.46E-10
PROM2,chr2,95939201,95941201,95940201,2_NA_peak_37020_lociStitched,chr2,95981054,95983932,95982493,42.292,1,-4.356544498,-2.926791276,148.7874705,8.12E-16
AMPD3,chr11,10328860,10330860,10329860,2_NA_peak_10885_lociStitched,chr11,10511934,10513293,10512613,182.753,2,-4.343898442,-2.28071366,126.7345232,7.22E-07
SOX9,chr17,70116161,70118161,70117161,2_NA_peak_29574_lociStitched,chr17,69971765,69972663,69972214,144.947,1,-4.336350747,-1.690365193,7777.090891,1.05E-215
BCL9L,chr11,118795317,118797317,118796317,1_NA_peak_13525_lociStitched,chr11,118757960,118759314,118758637,37.68,1,-4.320010551,-0.873142379,4757.293969,2.18E-34
SNHG16,chr17,74552848,74554848,74553848,NA_peak_29808,chr17,74565480,74566713,74566096,12.248,1,-4.300185907,-0.51513151,5930.855302,2.12E-17
ABCA5,chr17,67322385,67324385,67323385,1_NA_peak_29522_lociStitched,chr17,67757891,67758286,67758088,434.703,1,-4.292572633,-0.859376845,198.2348967,0.012056108
GALNT10,chr5,153569290,153571290,153570290,2_NA_peak_59228_lociStitched,chr5,153664060,153667933,153665996,95.706,1,-4.267216736,-1.600854322,12530.72829,3.78E-296
SAP30L-AS1,chr5,153824410,153826410,153825410,2_NA_peak_59228_lociStitched,chr5,153664060,153667933,153665996,159.414,2,-4.267216736,-1.229110601,113.7943204,0.008171153
RABL5,chr7,100964104,100966104,100965104,3_NA_peak_67201_lociStitched,chr7,101360802,101373608,101367205,402.101,2,-4.254892438,-0.892881841,1238.032325,3.35E-12
AC009403.2,chr7,155436899,155438899,155437899,1_NA_peak_68600_lociStitched,chr7,155857373,155857709,155857541,419.642,2,-4.247816314,-1.215510989,189.5686407,0.001343118
ZMIZ1,chr10,80827792,80829792,80828792,1_NA_peak_9196_lociStitched,chr10,80838784,80842788,80840786,11.994,1,-4.243379724,-0.830775969,5914.396051,5.35E-42
PLXND1,chr3,129324661,129326661,129325661,2_NA_peak_48569_lociStitched,chr3,129277305,129280262,129278783,46.878,1,-4.234099559,-3.035139564,121.6066811,8.17E-13
SMAGP,chr12,51663674,51665674,51664674,2_NA_peak_15505_lociStitched,chr12,51701650,51702953,51702301,37.627,1,-4.217692051,-0.548577944,5357.789417,6.77E-19
SPIN1,chr9,91002334,91004334,91003334,1_NA_peak_73670_lociStitched,chr9,91143901,91146292,91145096,141.762,1,-4.19815457,-0.521414637,6502.586737,1.99E-20
ABTB2,chr11,34378555,34380555,34379555,2_NA_peak_11456_lociStitched,chr11,34323192,34324849,34324020,55.535,1,-4.197517381,-1.600457735,111.0418577,0.000848106
KRT7,chr12,52625304,52627304,52626304,NA_peak_15561,chr12,52610943,52611496,52611219,15.085,2,-4.19313082,-1.704326636,580.1746276,0.004410848
ANAPC2,chr9,140081989,140083989,140082989,1_NA_peak_75261_lociStitched,chr9,140072381,140073741,140073061,9.928,1,-4.17013067,-0.919494224,2808.806956,6.37E-27
FAM20C,chr7,191969,193969,192969,4_NA_peak_64739_lociStitched,chr7,214481,229993,222237,29.268,1,-4.158692196,-2.572024252,540.7861109,2.47E-42
PDGFA,chr7,558933,560933,559933,4_NA_peak_64739_lociStitched,chr7,214481,229993,222237,337.696,2,-4.158692196,-1.423586674,3613.307913,2.31E-77
ASB9,chrX,15287589,15289589,15288589,2_NA_peak_75563_lociStitched,chrX,15188513,15195388,15191950,96.639,1,-4.157346935,-7.006281904,110.3462033,1.36E-19
CHAC2,chr2,53993929,53995929,53994929,1_NA_peak_36154_lociStitched,chr2,53739678,53740007,53739842,255.087,1,-4.153284383,-0.787458432,965.2916239,5.60E-08
ANKRD1,chr10,92680033,92682033,92681033,1_NA_peak_9461_lociStitched,chr10,92689516,92692186,92690851,9.818,1,-4.145121693,-3.658025405,3485.05002,1.28E-272
NAV2,chr11,19371271,19373271,19372271,3_NA_peak_11097_lociStitched,chr11,19733144,19745894,19739519,367.248,1,-4.134977387,-4.665292924,503.4633092,7.23E-71
SH3RF2,chr5,145315142,145317142,145316142,1_NA_peak_58915_lociStitched,chr5,145154979,145156965,145155972,160.17,1,-4.133785447,-0.99075533,479.5066298,8.48E-06
RP4-755D9.1,chrX,119169201,119171201,119170201,2_NA_peak_76827_lociStitched,chrX,119277268,119279747,119278507,108.306,2,-4.115406587,-6.644957994,952.7663204,7.64E-37
LOXL1,chr15,74217330,74219330,74218330,2_NA_peak_24189_lociStitched,chr15,74189877,74190753,74190315,28.015,1,-4.088508268,-1.334122495,422.4049554,4.86E-08
LOXL1-AS1,chr15,74219589,74221589,74220589,2_NA_peak_24189_lociStitched,chr15,74189877,74190753,74190315,30.274,2,-4.088508268,-1.567672048,500.4682053,4.83E-14
SNAPC1,chr14,62228075,62230075,62229075,1_NA_peak_21348_lociStitched,chr14,61854823,61856702,61855762,373.313,2,-4.079035775,-0.62910932,1291.249247,8.01E-07
LINC00888,chr3,183164396,183166396,183165396,1_NA_peak_50086_lociStitched,chr3,183087768,183090191,183088979,76.417,2,-4.074270653,-0.915186942,482.7922243,2.36E-05
AUH,chr9,94123195,94125195,94124195,1_NA_peak_73710_lociStitched,chr9,94298104,94298385,94298244,174.049,2,-4.064581444,-0.690768551,383.8403379,0.003118814
AUH,chr9,94123195,94125195,94124195,4_NA_peak_73708_lociStitched,chr9,94257357,94263597,94260477,136.282,2,-4.05433488,-0.690768551,383.8403379,0.003118814
PLK2,chr5,57755087,57757087,57756087,1_NA_peak_56847_lociStitched,chr5,57757918,57758484,57758201,2.114,1,-4.041862478,-2.693401618,3839.920387,3.01E-192
LINC00094,chr9,136889561,136891561,136890561,1_NA_peak_75131_lociStitched,chr9,136738165,136740569,136739367,151.194,2,-4.037875553,-0.673459769,2467.874201,8.48E-13
VAV2,chr9,136856726,136858726,136857726,1_NA_peak_75131_lociStitched,chr9,136738165,136740569,136739367,118.359,1,-4.037875553,-1.597326185,2336.91821,2.62E-61
