GENE.SYMBOL,PROMOTER.CHROM,PROMOTER.START,PROMOTER.END,PROMOTER.TSS,SE.PEAK,SE.CHROM,SE.START,SE.END,SE.CENTER,DISTANCE.PROM.ENH.KB,RANKED.DISTANCE,SE.LOG2FC,GENE.LOG2FC,GENE.BASEMEAN,GENE.LOG2FC.PADJ
AC003092.1,chr7,93651145,93653145,93652145,2_NA_peak_67018_lociStitched,chr7,93852022,93853498,93852760,200.615,1,2.317872436,3.880714842,3961.116827,0
AC003092.1,chr7,93651145,93653145,93652145,2_NA_peak_66997_lociStitched,chr7,93650966,93658264,93654615,2.47,1,2.026570049,3.880714842,3961.116827,0
AC005481.5,chr7,157405715,157407715,157406715,3_NA_peak_68658_lociStitched,chr7,157419881,157421452,157420666,13.951,1,2.329460628,0.516699043,432.0036999,0.03244115
AC005481.5,chr7,157405715,157407715,157406715,1_NA_peak_68643_lociStitched,chr7,157246780,157247331,157247055,159.66,2,9.515179823,0.516699043,432.0036999,0.03244115
AC007362.1,chr2,206641540,206643540,206642540,1_NA_peak_39720_lociStitched,chr2,206733020,206733684,206733352,90.812,1,1.594553022,1.677279377,954.2942147,5.62E-30
AC007362.1,chr2,206641540,206643540,206642540,1_NA_peak_39701_lociStitched,chr2,206316613,206316876,206316744,325.796,2,5.672800922,1.677279377,954.2942147,5.62E-30
AC010987.6,chr2,68051694,68053694,68052694,2_NA_peak_36561_lociStitched,chr2,67928032,67928941,67928486,124.208,2,3.351172934,1.45836228,226.9194545,4.68E-06
AC012487.2,chr2,109149652,109151652,109150652,1_NA_peak_37354_lociStitched,chr2,108939826,108942945,108941385,209.267,2,2.017001319,1.574967655,103.0564923,0.000619188
AC016683.6,chr2,113968099,113970099,113969099,1_NA_peak_37517_lociStitched,chr2,113915410,113915724,113915567,53.532,2,1.694675816,1.380224538,215.0929806,2.14E-05
AC016710.1,chr2,140226345,140228345,140227345,1_NA_peak_37939_lociStitched,chr2,140546982,140547209,140547095,319.75,1,7.404192973,1.13323099,608.7227572,1.49E-09
AC016710.1,chr2,140226345,140228345,140227345,2_NA_peak_37935_lociStitched,chr2,140288234,140289623,140288928,61.583,1,2.094916267,1.13323099,608.7227572,1.49E-09
AC018463.4,chr2,11447151,11449151,11448151,2_NA_peak_34818_lociStitched,chr2,11469556,11470879,11470217,22.066,2,1.916420711,0.606921922,127.7448899,0.1808371
AC073135.3,chr3,197835983,197837983,197836983,1_NA_peak_50741_lociStitched,chr3,197835985,197840813,197838399,1.416,1,2.513243159,8.305501931,856.9137166,1.16E-53
AC099552.4,chr7,154989165,154991165,154990165,1_NA_peak_68550_lociStitched,chr7,154911217,154912035,154911626,78.539,1,1.734082467,4.394804294,687.7383243,6.79E-87
ACTN1,chr14,69445157,69447157,69446157,4_NA_peak_21644_lociStitched,chr14,69500881,69506898,69503889,57.732,1,2.158278225,0.867792107,48647.19507,1.37E-208
ACTR2,chr2,65453887,65455887,65454887,2_NA_peak_36521_lociStitched,chr2,65742378,65744123,65743250,288.363,2,1.759753815,0.872035783,37964.87676,1.16E-175
ACTR2,chr2,65453887,65455887,65454887,1_NA_peak_36523_lociStitched,chr2,65779975,65780746,65780360,325.473,2,2.484994875,0.872035783,37964.87676,1.16E-175
ADAM12,chr10,128076024,128078024,128077024,1_NA_peak_10421_lociStitched,chr10,128170096,128170430,128170263,93.239,2,2.634940256,2.651051114,783.2189685,1.86E-43
ADAM12,chr10,128076024,128078024,128077024,1_NA_peak_10397_lociStitched,chr10,127915973,127917913,127916943,160.081,1,1.75402029,2.651051114,783.2189685,1.86E-43
ADAM12,chr10,128076024,128078024,128077024,12_NA_peak_10398_lociStitched,chr10,127930815,127959473,127945144,131.88,1,2.621465882,2.651051114,783.2189685,1.86E-43
ADAM23,chr2,207307263,207309263,207308263,1_NA_peak_39734_lociStitched,chr2,207317045,207317436,207317240,8.977,1,2.067730211,0.63236477,1219.693331,1.29E-06
ADAM23,chr2,207307263,207309263,207308263,1_NA_peak_39735_lociStitched,chr2,207426789,207427013,207426901,118.638,1,2.505712194,0.63236477,1219.693331,1.29E-06
ADCY9,chr16,4165186,4167186,4166186,2_NA_peak_25128_lociStitched,chr16,4010675,4012707,4011691,154.495,2,3.529100542,0.608323644,427.0891522,0.009312163
ADCYAP1R1,chr7,31091076,31093076,31092076,2_NA_peak_65707_lociStitched,chr7,31112951,31120364,31116657,24.581,1,2.008602471,3.012083931,213.4294349,1.31E-18
ADCYAP1R1,chr7,31091076,31093076,31092076,1_NA_peak_65705_lociStitched,chr7,31097335,31098496,31097915,5.839,1,2.385689867,3.012083931,213.4294349,1.31E-18
AF121898.3,chr8,88766946,88768946,88767946,3_NA_peak_70519_lociStitched,chr8,88985640,88994407,88990023,222.077,2,3.013755411,3.023260983,635.7837207,1.86E-08
AGA,chr4,178362657,178364657,178363657,1_NA_peak_55110_lociStitched,chr4,178277016,178277280,178277148,86.509,2,2.258790344,0.728039529,868.3347703,1.03E-05
AGA,chr4,178362657,178364657,178363657,4_NA_peak_55115_lociStitched,chr4,178382329,178385893,178384111,20.454,2,2.480905425,0.728039529,868.3347703,1.03E-05
AGPAT4,chr6,161694093,161696093,161695093,8_NA_peak_64633_lociStitched,chr6,161723546,161737617,161730581,35.488,1,2.283213453,0.7396875,1253.135709,7.59E-07
AIDA,chr1,222885552,222887552,222886552,2_NA_peak_6421_lociStitched,chr1,222870260,222883010,222876635,9.917,2,1.809909503,0.701621776,9357.689067,6.15E-47
AIM2,chr1,159115886,159117886,159116886,3_NA_peak_4605_lociStitched,chr1,159437656,159442990,159440323,323.437,2,4.495899303,2.047787807,705.9057883,4.14E-32
AK9,chr6,110011420,110013420,110012420,3_NA_peak_62918_lociStitched,chr6,110088752,110094003,110091377,78.957,2,2.367038736,0.551799334,151.2175895,0.192461349
AK9,chr6,110011420,110013420,110012420,4_NA_peak_62908_lociStitched,chr6,109900314,109902439,109901376,111.044,2,2.924149141,0.551799334,151.2175895,0.192461349
AKAP12,chr6,151560134,151562134,151561134,1_NA_peak_64200_lociStitched,chr6,151584344,151584592,151584468,23.334,1,2.318000275,3.360594391,31210.70017,0
AKAP12,chr6,151560134,151562134,151561134,4_NA_peak_64196_lociStitched,chr6,151560671,151570600,151565635,4.501,1,2.101834393,3.360594391,31210.70017,0
AKAP12,chr6,151560134,151562134,151561134,1_NA_peak_64195_lociStitched,chr6,151530691,151531004,151530847,30.287,2,1.663084075,3.360594391,31210.70017,0
AKAP12,chr6,151560134,151562134,151561134,1_NA_peak_64201_lociStitched,chr6,151597598,151597921,151597759,36.625,1,2.026436368,3.360594391,31210.70017,0
AKT3,chr1,244013381,244015381,244014381,1_NA_peak_6981_lociStitched,chr1,243806495,243806750,243806622,207.759,1,7.44625623,0.648783463,5238.57764,1.87E-25
AKT3,chr1,244013381,244015381,244014381,3_NA_peak_6978_lociStitched,chr1,243783283,243787991,243785637,228.744,1,2.614287018,0.648783463,5238.57764,1.87E-25
ALG12,chr22,50311106,50313106,50312106,1_NA_peak_45003_lociStitched,chr22,50415267,50415483,50415375,103.269,2,7.321127177,0.94467706,809.5139834,6.73E-09
ANGPT1,chr8,108509283,108511283,108510283,3_NA_peak_71055_lociStitched,chr8,108544270,108546224,108545247,34.964,1,2.360735213,3.363568004,620.1530402,5.07E-58
ANK3,chr10,62492248,62494248,62493248,1_NA_peak_8594_lociStitched,chr10,62315033,62315557,62315295,177.953,1,2.105527788,1.795593338,2813.49669,4.25E-85
ANK3,chr10,62492248,62494248,62493248,1_NA_peak_8602_lociStitched,chr10,62487392,62488466,62487929,5.319,1,4.419033467,1.795593338,2813.49669,4.25E-85
ANKRD18DP,chr3,197806591,197808591,197807591,1_NA_peak_50741_lociStitched,chr3,197835985,197840813,197838399,30.808,2,2.513243159,0.876472239,123.6850884,0.069519029
ANKRD36C,chr2,96656541,96658541,96657541,1_NA_peak_37031_lociStitched,chr2,96613349,96613649,96613499,44.042,1,1.749015157,0.61143251,1076.472114,0.000790262
ANKRD50,chr4,125632887,125634887,125633887,2_NA_peak_53702_lociStitched,chr4,125401890,125403717,125402803,231.084,1,3.232021675,1.00669643,14484.46212,4.64E-109
ANO10,chr3,43732086,43734086,43733086,3_NA_peak_46112_lociStitched,chr3,43622534,43626300,43624417,108.669,2,1.685715335,0.767807855,3751.608085,5.16E-25
ANO10,chr3,43732086,43734086,43733086,1_NA_peak_46132_lociStitched,chr3,43935672,43936040,43935856,202.77,1,4.008342509,0.767807855,3751.608085,5.16E-25
ANO10,chr3,43732086,43734086,43733086,1_NA_peak_46123_lociStitched,chr3,43775549,43776050,43775799,42.713,1,3.29463318,0.767807855,3751.608085,5.16E-25
ANXA5,chr4,122617268,122619268,122618268,1_NA_peak_53569_lociStitched,chr4,122501716,122502259,122501987,116.281,1,3.722987388,0.529246944,42972.40133,8.95E-76
ANXA5,chr4,122617268,122619268,122618268,1_NA_peak_53585_lociStitched,chr4,122680781,122681053,122680917,62.649,2,2.226660919,0.529246944,42972.40133,8.95E-76
AP000688.8,chr21,37376636,37378636,37377636,2_NA_peak_43273_lociStitched,chr21,37375848,37379718,37377783,0.147,1,2.01399979,2.470760644,864.3805999,2.19E-53
AP000688.8,chr21,37376636,37378636,37377636,1_NA_peak_43263_lociStitched,chr21,36950855,36952678,36951766,425.87,2,3.012751714,2.470760644,864.3805999,2.19E-53
AP000688.8,chr21,37376636,37378636,37377636,2_NA_peak_43264_lociStitched,chr21,37006911,37008701,37007806,369.83,2,1.848960803,2.470760644,864.3805999,2.19E-53
AP000695.4,chr21,37817029,37819029,37818029,2_NA_peak_43315_lociStitched,chr21,37959619,37961776,37960697,142.668,2,2.28992054,2.48321787,232.3006673,1.69E-15
AP000783.1,chr11,123300058,123302058,123301058,2_NA_peak_13737_lociStitched,chr11,123172359,123174089,123173224,127.834,2,2.024300404,0.742171564,517.7457616,0.00090535
AP004372.1,chr11,131766002,131768002,131767002,4_NA_peak_14024_lociStitched,chr11,132181701,132189380,132185540,418.538,1,1.588558127,3.762384759,108.0656295,0.223927253
APIP,chr11,34937046,34939046,34938046,1_NA_peak_11481_lociStitched,chr11,34831643,34831882,34831762,106.284,2,2.050745418,0.801600292,2643.407301,6.89E-15
APLF,chr2,68693693,68695693,68694693,1_NA_peak_36594_lociStitched,chr2,68914190,68914501,68914345,219.652,1,1.907773944,0.508125588,283.4100066,0.081455254
APLP2,chr11,129938732,129940732,129939732,1_NA_peak_13955_lociStitched,chr11,130304562,130304989,130304775,365.043,2,1.604302314,1.206110488,16902.74078,2.29E-175
APLP2,chr11,129938732,129940732,129939732,1_NA_peak_13949_lociStitched,chr11,129912234,129912805,129912519,27.213,1,2.394200316,1.206110488,16902.74078,2.29E-175
APPL2,chr12,105629016,105631016,105630016,8_NA_peak_17360_lociStitched,chr12,105593915,105623500,105608707,21.309,2,2.024763988,0.938770722,3584.704554,1.06E-36
AREG,chr4,75309851,75311851,75310851,4_NA_peak_52333_lociStitched,chr4,75177227,75197542,75187384,123.467,2,2.757299541,1.431088851,647.6395482,9.45E-16
AREG,chr4,75309851,75311851,75310851,1_NA_peak_52342_lociStitched,chr4,75274689,75275677,75275183,35.668,1,1.596195795,1.431088851,647.6395482,9.45E-16
AREGB,chr4,75479629,75481629,75480629,2_NA_peak_52361_lociStitched,chr4,75866680,75868243,75867461,386.832,1,1.588369853,1.426105828,756.3995117,3.13E-16
ARHGAP24,chr4,86395267,86397267,86396267,1_NA_peak_52650_lociStitched,chr4,86219728,86220185,86219956,176.311,1,2.689946562,1.222982287,1032.994511,4.57E-18
ARHGAP24,chr4,86395267,86397267,86396267,1_NA_peak_52667_lociStitched,chr4,86780878,86781379,86781128,384.861,1,2.949351245,1.222982287,1032.994511,4.57E-18
ARHGAP30,chr1,161038760,161040760,161039760,1_NA_peak_4643_lociStitched,chr1,160982420,160984474,160983447,56.313,2,2.980536804,1.913389801,273.1844112,6.67E-12
ARID3A,chr19,924781,926781,925781,1_NA_peak_31918_lociStitched,chr19,956765,957316,957040,31.259,2,1.577068305,1.247530805,1238.336894,5.13E-21
ARL4C,chr2,235404697,235406697,235405697,2_NA_peak_40641_lociStitched,chr2,235527896,235529601,235528748,123.051,1,4.045955588,1.343212918,10751.38412,1.02E-152
ARPC2,chr2,219080817,219082817,219081817,1_NA_peak_40032_lociStitched,chr2,218858730,218859680,218859205,222.612,2,3.967601366,0.590402581,18959.06311,4.58E-52
ARSA,chr22,51065607,51067607,51066607,2_NA_peak_45040_lociStitched,chr22,51055552,51056876,51056214,10.393,1,2.256589769,1.040799397,1858.4717,2.58E-22
ARTN,chr1,44397992,44399992,44398992,1_NA_peak_2035_lociStitched,chr1,44331237,44331953,44331595,67.397,1,1.575210305,5.123167193,391.33458,1.40E-50
ASB6,chr9,132403444,132405444,132404444,1_NA_peak_74942_lociStitched,chr9,132474932,132475550,132475241,70.797,2,3.15867643,0.631587213,2530.271106,2.43E-11
ATG7,chr3,11312995,11314995,11313995,1_NA_peak_45265_lociStitched,chr3,11518538,11521078,11519808,205.813,1,1.510972645,0.98106659,4037.138258,3.31E-40
ATG7,chr3,11312995,11314995,11313995,2_NA_peak_45256_lociStitched,chr3,11405479,11409068,11407273,93.278,1,2.285477518,0.98106659,4037.138258,3.31E-40
ATP1A3,chr19,42500649,42502649,42501649,4_NA_peak_33609_lociStitched,chr19,42514004,42523484,42518744,17.095,1,2.057435992,1.718411402,1989.186342,1.31E-57
ATP2B1,chr12,90102077,90104077,90103077,1_NA_peak_16892_lociStitched,chr12,90029176,90031558,90030367,72.71,2,2.187504218,0.816513294,13813.71657,1.48E-74
ATP5S,chr14,50778044,50780044,50779044,1_NA_peak_20931_lociStitched,chr14,50700681,50701249,50700965,78.079,2,1.558358296,0.601440652,417.4497854,0.007922302
ATP6V0D2,chr8,86998552,87000552,86999552,4_NA_peak_70473_lociStitched,chr8,86845670,86856188,86850929,148.623,1,3.849993866,0.592397393,198.0799557,0.09062952
ATP9A,chr20,50384173,50386173,50385173,2_NA_peak_42295_lociStitched,chr20,50543133,50548481,50545807,160.634,1,2.006159371,2.448110941,2923.507575,4.75E-152
ATP9A,chr20,50384173,50386173,50385173,4_NA_peak_42264_lociStitched,chr20,50167835,50175787,50171811,213.362,2,1.707799674,2.448110941,2923.507575,4.75E-152
ATXN7,chr3,63849233,63851233,63850233,2_NA_peak_46834_lociStitched,chr3,63436238,63437490,63436864,413.369,2,4.045593452,0.641176777,2979.401645,2.85E-14
ATXN7,chr3,63849233,63851233,63850233,2_NA_peak_46838_lociStitched,chr3,63747215,63760403,63753809,96.424,2,1.787961104,0.641176777,2979.401645,2.85E-14
AZI2,chr3,28389618,28391618,28390618,1_NA_peak_45707_lociStitched,chr3,28337242,28337483,28337362,53.256,1,1.973420574,1.069464245,3874.016646,2.79E-44
B3GNT2,chr2,62422248,62424248,62423248,4_NA_peak_36413_lociStitched,chr2,62374380,62379605,62376992,46.256,1,3.141302674,1.03860305,2544.179967,1.74E-28
BACH2,chr6,91005627,91007627,91006627,1_NA_peak_62624_lociStitched,chr6,91168297,91168783,91168540,161.913,2,2.343961467,1.014725128,134.5374013,0.019301109
BAZ2B,chr2,160472203,160474203,160473203,1_NA_peak_38403_lociStitched,chr2,160452214,160452482,160452348,20.855,2,1.737699817,0.556575949,340.1954643,0.04243329
BCAS3,chr17,58753814,58755814,58754814,1_NA_peak_29163_lociStitched,chr17,58894225,58894500,58894362,139.548,1,2.34764257,0.530375981,628.8386529,0.006509621
BCAS3,chr17,58753814,58755814,58754814,1_NA_peak_29164_lociStitched,chr17,58978418,58978699,58978558,223.744,1,1.614373837,0.530375981,628.8386529,0.006509621
BCL11B,chr14,99736861,99738861,99737861,1_NA_peak_22462_lociStitched,chr14,99660606,99661364,99660985,76.876,1,2.133957581,3.782574854,1916.715707,7.89E-186
BCL11B,chr14,99736861,99738861,99737861,2_NA_peak_22472_lociStitched,chr14,99732536,99741502,99737019,0.842,1,2.268341906,3.782574854,1916.715707,7.89E-186
BCL2A1,chr15,80262788,80264788,80263788,1_NA_peak_24392_lociStitched,chr15,80235946,80236205,80236075,27.713,2,1.899394152,4.223955296,1326.763319,1.85E-142
BCL7A,chr12,122456328,122458328,122457328,NA_peak_17938,chr12,122400820,122405264,122403042,54.286,2,3.387615118,0.823022891,3202.220223,1.69E-23
BCL7A,chr12,122456328,122458328,122457328,NA_peak_17939,chr12,122405592,122405841,122405716,51.612,2,2.326197686,0.823022891,3202.220223,1.69E-23
BCL7A,chr12,122456328,122458328,122457328,6_NA_peak_17942_lociStitched,chr12,122427433,122437038,122432235,25.093,1,1.691582541,0.823022891,3202.220223,1.69E-23
BCL7A,chr12,122456328,122458328,122457328,NA_peak_17937,chr12,122397029,122397746,122397387,59.941,2,1.923688112,0.823022891,3202.220223,1.69E-23
BCL7A,chr12,122456328,122458328,122457328,NA_peak_17940,chr12,122407257,122407717,122407487,49.841,1,2.313182565,0.823022891,3202.220223,1.69E-23
BCL7A,chr12,122456328,122458328,122457328,NA_peak_17936,chr12,122396435,122396830,122396632,60.696,2,2.298806581,0.823022891,3202.220223,1.69E-23
BEST3,chr12,70092256,70094256,70093256,2_NA_peak_16258_lociStitched,chr12,70294224,70295980,70295102,201.846,2,2.081307724,0.787630574,174.9738084,0.02785511
BET1,chr7,93632694,93634694,93633694,2_NA_peak_66991_lociStitched,chr7,93587796,93589091,93588443,45.251,2,1.6512528,0.775578382,1838.578838,7.04E-14
BET1,chr7,93632694,93634694,93633694,2_NA_peak_66997_lociStitched,chr7,93650966,93658264,93654615,20.921,2,2.026570049,0.775578382,1838.578838,7.04E-14
BET1,chr7,93632694,93634694,93633694,1_NA_peak_67004_lociStitched,chr7,93744261,93744756,93744508,110.814,2,2.137068447,0.775578382,1838.578838,7.04E-14
BET1,chr7,93632694,93634694,93633694,2_NA_peak_67018_lociStitched,chr7,93852022,93853498,93852760,219.066,2,2.317872436,0.775578382,1838.578838,7.04E-14
BHLHE40,chr3,5019801,5021801,5020801,1_NA_peak_45073_lociStitched,chr3,4837917,4838356,4838136,182.665,1,1.70526033,1.19176083,8424.671712,1.96E-109
BMPER,chr7,33943523,33945523,33944523,1_NA_peak_65782_lociStitched,chr7,34299429,34299954,34299691,355.168,1,2.081599831,4.693913967,122.6763602,6.44E-15
BMPER,chr7,33943523,33945523,33944523,2_NA_peak_65780_lociStitched,chr7,34194377,34195638,34195007,250.484,1,3.23208702,4.693913967,122.6763602,6.44E-15
BMPER,chr7,33943523,33945523,33944523,1_NA_peak_65779_lociStitched,chr7,34101076,34101545,34101310,156.787,1,2.761173951,4.693913967,122.6763602,6.44E-15
BMPER,chr7,33943523,33945523,33944523,1_NA_peak_65773_lociStitched,chr7,33972155,33975205,33973680,29.157,1,1.791269679,4.693913967,122.6763602,6.44E-15
BMPER,chr7,33943523,33945523,33944523,4_NA_peak_65774_lociStitched,chr7,34018917,34028208,34023562,79.039,1,2.561091947,4.693913967,122.6763602,6.44E-15
BMPER,chr7,33943523,33945523,33944523,2_NA_peak_65783_lociStitched,chr7,34316176,34318325,34317250,372.727,1,3.283703556,4.693913967,122.6763602,6.44E-15
BMPER,chr7,33943523,33945523,33944523,1_NA_peak_65785_lociStitched,chr7,34354315,34354531,34354423,409.9,1,7.280414459,4.693913967,122.6763602,6.44E-15
BMPR1B,chr4,95678119,95680119,95679119,3_NA_peak_52872_lociStitched,chr4,95896167,95897782,95896974,217.855,1,2.229011748,1.433317333,198.2108387,2.38E-05
BMPR1B,chr4,95678119,95680119,95679119,1_NA_peak_52864_lociStitched,chr4,95635454,95636264,95635859,43.26,1,3.018094193,1.433317333,198.2108387,2.38E-05
BMPR1B,chr4,95678119,95680119,95679119,1_NA_peak_52877_lociStitched,chr4,96102993,96103678,96103335,424.216,1,4.075834518,1.433317333,198.2108387,2.38E-05
BRSK1,chr19,55792440,55794440,55793440,3_NA_peak_34436_lociStitched,chr19,55812908,55817659,55815283,21.843,1,2.160842332,0.847012128,1233.349828,8.85E-11
BTBD10,chr11,13483844,13485844,13484844,1_NA_peak_11013_lociStitched,chr11,13481092,13481990,13481541,3.303,1,2.487908303,0.698027267,2827.881553,4.00E-12
BTBD11,chr12,107711190,107713190,107712190,2_NA_peak_17430_lociStitched,chr12,107630214,107632059,107631136,81.054,1,2.422829684,5.337409547,255.0221871,6.87E-32
BTBD11,chr12,107711190,107713190,107712190,1_NA_peak_17439_lociStitched,chr12,107730704,107731124,107730914,18.724,1,2.645297331,5.337409547,255.0221871,6.87E-32
C10orf88,chr10,124712919,124714919,124713919,2_NA_peak_10324_lociStitched,chr10,124698449,124700325,124699387,14.532,2,1.859540642,0.593091822,1516.343198,2.33E-07
C19orf66,chr19,10195798,10197798,10196798,1_NA_peak_32498_lociStitched,chr19,10129082,10130474,10129778,67.02,1,1.809205609,0.547456704,1108.509672,0.000168163
C1QTNF1,chr17,77017896,77019896,77018896,1_NA_peak_29991_lociStitched,chr17,77267849,77269350,77268599,249.703,2,2.712733675,4.39425286,409.1304462,1.76E-47
C1QTNF1,chr17,77017896,77019896,77018896,NA_peak_29988,chr17,77037195,77037692,77037443,18.547,1,2.563200107,4.39425286,409.1304462,1.76E-47
C1QTNF1,chr17,77017896,77019896,77018896,NA_peak_29985,chr17,77023279,77023669,77023474,4.578,1,2.075956731,4.39425286,409.1304462,1.76E-47
C1QTNF1,chr17,77017896,77019896,77018896,NA_peak_29982,chr17,77016699,77017080,77016889,2.007,1,3.55426997,4.39425286,409.1304462,1.76E-47
C1QTNF1,chr17,77017896,77019896,77018896,NA_peak_29987,chr17,77032166,77035857,77034011,15.115,1,1.81976231,4.39425286,409.1304462,1.76E-47
C1QTNF1,chr17,77017896,77019896,77018896,NA_peak_29989,chr17,77037908,77038616,77038262,19.366,1,3.559897534,4.39425286,409.1304462,1.76E-47
C20orf194,chr20,3387272,3389272,3388272,1_NA_peak_41011_lociStitched,chr20,3553101,3553377,3553239,164.967,2,3.297526332,0.562329086,757.411582,0.002498635
C20orf197,chr20,58629980,58631980,58630980,1_NA_peak_42547_lociStitched,chr20,59086846,59088157,59087501,456.521,2,1.933963562,4.087685993,462.745825,2.67E-05
C20orf197,chr20,58629980,58631980,58630980,1_NA_peak_42537_lociStitched,chr20,58662414,58662666,58662540,31.56,2,7.544958253,4.087685993,462.745825,2.67E-05
C3,chr19,6729573,6731573,6730573,6_NA_peak_32378_lociStitched,chr19,6662091,6687153,6674622,55.951,2,2.570753652,4.501504362,149.5153342,1.85E-19
C3orf14,chr3,62303648,62305648,62304648,1_NA_peak_46794_lociStitched,chr3,61942299,61942641,61942470,362.178,2,2.764547774,0.785094535,3218.259796,6.13E-18
C3orf14,chr3,62303648,62305648,62304648,1_NA_peak_46803_lociStitched,chr3,62311838,62312079,62311958,7.31,1,1.852450308,0.785094535,3218.259796,6.13E-18
C3orf67,chr3,59034810,59036810,59035810,1_NA_peak_46756_lociStitched,chr3,59413426,59413851,59413638,377.828,1,1.658103647,0.960632023,2152.02886,2.32E-21
C9orf16,chr9,130921539,130923539,130922539,3_NA_peak_74808_lociStitched,chr9,130929805,130938767,130934286,11.747,1,1.881887272,0.689754642,1862.213771,3.86E-09
C9orf72,chr9,27572864,27574864,27573864,2_NA_peak_72974_lociStitched,chr9,27519538,27521205,27520371,53.493,2,1.996123266,0.70930822,1246.137655,2.02E-08
CA12,chr15,63673360,63675360,63674360,2_NA_peak_23822_lociStitched,chr15,63729201,63732185,63730693,56.333,1,1.975813724,7.020154049,366.5804012,0.003999342
CA12,chr15,63673360,63675360,63674360,6_NA_peak_23815_lociStitched,chr15,63623397,63641441,63632419,41.941,1,1.578098356,7.020154049,366.5804012,0.003999342
CACNA1A,chr19,13733804,13735804,13734804,3_NA_peak_32727_lociStitched,chr19,13779479,13803033,13791256,56.452,2,1.769790795,5.477477527,855.3926587,2.24E-109
CACNG8,chr19,54465294,54467294,54466294,1_NA_peak_34380_lociStitched,chr19,54600051,54600625,54600338,134.044,1,1.933573992,4.22261052,168.4410031,3.81E-19
CACUL1,chr10,120513761,120515761,120514761,1_NA_peak_10208_lociStitched,chr10,120230708,120232952,120231830,282.931,2,2.580668477,0.560896275,4259.730786,6.37E-14
